Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Female,3821,150,56,110,3,39,-,10,-,206,30,9,312,5696,258,77,63,97,1,6,82,71,5,15,19,1,14,5,-,1,42,357,34,-,126,58,-,-,9,467,12,31,68,54,8535,172,48,56,24,3,139,5290,384,19,10,180,17,113,534,4,89,74,94,-,1,-,17,64,3,66,-,52,21,86,2251,2321,1904,449,22,15,105,2,42,55,45,9,731,358,1,16,36836,Thakayta,MMR013013
 Total,11829,510,341,353,4,198,1,28,-,542,120,17,430,6607,851,176,152,194,8,23,138,184,46,259,840,7,36,26,2,9,834,991,825,-,946,309,-,-,14,5591,101,1653,1721,130,17128,8896,1197,99,403,3,411,10596,990,84,21,332,39,235,831,6,129,200,176,-,1,-,82,242,9,139,4,97,526,216,5034,5526,2217,711,52,53,540,4,353,151,96,156,1746,482,12,29,97300,Thakayta,MMR013013
 Male,2095,92,52,242,-,12,-,7,-,291,17,-,15,212,127,34,22,32,-,4,9,28,21,62,375,5,1,7,-,17,99,184,356,-,235,60,-,-,-,1888,22,538,583,50,4282,2386,682,4,169,1,80,1578,206,10,2,47,2,32,53,-,13,48,22,-,-,-,25,39,-,17,-,15,127,11,671,837,101,50,12,34,58,1,24,22,21,47,664,73,4,6,20270,Dawbon,MMR013014
 Female,1346,31,5,51,-,1,-,2,-,96,13,7,46,1142,51,25,16,30,-,7,19,32,1,1,5,1,-,-,-,-,7,89,12,-,12,23,-,-,-,153,1,9,10,33,3645,36,36,5,12,1,40,1519,148,4,3,41,9,15,101,-,18,31,24,-,-,-,4,21,-,15,-,20,4,7,575,455,456,105,3,11,18,-,14,5,29,4,294,141,4,3,11153,Dawbon,MMR013014
 Total,3441,123,57,293,-,13,-,9,-,387,30,7,61,1354,178,59,38,62,-,11,28,60,22,63,380,6,1,7,-,17,106,273,368,-,247,83,-,-,-,2041,23,547,593,83,7927,2422,718,9,181,2,120,3097,354,14,5,88,11,47,154,-,31,79,46,-,-,-,29,60,-,32,-,35,131,18,1246,1292,557,155,15,45,76,1,38,27,50,51,958,214,8,9,31423,Dawbon,MMR013014
 Male,5195,235,163,77,-,43,3,33,-,122,78,5,58,453,18,27,33,92,4,23,72,67,3,141,298,10,6,7,-,3,162,217,315,-,566,110,-,-,2,1336,24,308,1799,80,8146,4786,1362,92,58,1,346,3607,301,62,22,151,33,159,213,1,42,258,150,-,6,4,73,187,5,54,7,166,187,15,2913,1777,460,484,51,121,350,2,110,74,96,150,528,73,2,63,39936,Tamway,MMR013015
 Female,4417,78,86,14,-,14,-,7,-,59,21,5,81,2241,9,15,10,58,3,7,113,20,1,4,14,2,3,1,-,-,43,122,15,-,36,26,-,-,4,339,12,28,103,29,5848,170,40,90,8,-,273,2784,151,40,15,126,38,116,567,1,58,168,167,-,1,1,25,50,3,44,5,185,7,13,2851,1547,2312,996,29,49,157,1,47,44,114,10,990,838,7,64,29090,Tamway,MMR013015
 Total,9612,313,249,91,-,57,3,40,-,181,99,10,139,2694,27,42,43,150,7,30,185,87,4,145,312,12,9,8,-,3,205,339,330,-,602,136,-,-,6,1675,36,336,1902,109,13994,4956,1402,182,66,1,619,6391,452,102,37,277,71,275,780,2,100,426,317,-,7,5,98,237,8,98,12,351,194,28,5764,3324,2772,1480,80,170,507,3,157,118,210,160,1518,911,9,127,69026,Tamway,MMR013015
 Male,1658,63,13,94,1,14,-,7,-,51,23,7,7,83,10,10,22,33,-,8,20,19,2,48,112,4,5,7,-,3,29,76,155,-,198,38,-,-,-,311,5,59,370,43,2329,1118,461,24,25,-,68,1120,343,35,12,83,9,66,66,-,25,84,35,-,4,-,10,35,4,16,4,63,39,5,679,479,107,147,14,22,70,1,22,15,26,46,102,15,1,8,11445,Pazuntaung,MMR013016
 Female,1554,29,7,25,-,4,-,1,-,41,4,1,13,345,7,2,3,20,1,5,21,2,-,4,5,-,2,3,-,-,7,56,7,-,20,6,-,-,-,103,3,12,17,19,1251,43,29,31,7,-,65,717,104,8,10,68,10,46,182,-,26,40,46,-,2,-,10,16,-,9,1,66,3,3,729,422,651,250,6,10,29,-,11,12,28,3,181,267,8,18,7767,Pazuntaung,MMR013016
 Total,3212,92,20,119,1,18,-,8,-,92,27,8,20,428,17,12,25,53,1,13,41,21,2,52,117,4,7,10,-,3,36,132,162,-,218,44,-,-,-,414,8,71,387,62,3580,1161,490,55,32,-,133,1837,447,43,22,151,19,112,248,-,51,124,81,-,6,-,20,51,4,25,5,129,42,8,1408,901,758,397,20,32,99,1,33,27,54,49,283,282,9,26,19212,Pazuntaung,MMR013016
 Male,1162,41,25,28,-,10,-,14,-,25,12,-,8,55,2,5,6,30,-,3,8,11,-,16,35,1,-,-,-,1,47,81,67,-,102,7,-,-,-,251,6,69,257,17,1356,955,317,23,35,-,76,766,147,22,10,50,9,43,63,-,12,48,35,-,1,-,12,66,1,17,2,45,61,8,630,1851,103,90,14,20,50,-,9,13,17,21,118,22,1,15,9556,Botahtaung,MMR013017
 Female,898,15,7,6,1,5,-,2,-,17,5,-,18,244,1,3,2,19,-,2,11,8,-,1,2,3,1,-,-,-,7,42,1,-,9,4,-,-,1,77,2,10,27,5,1030,43,14,34,13,-,59,647,76,11,7,36,13,36,123,-,14,32,29,-,1,-,6,19,1,8,2,44,2,5,531,730,495,198,11,8,19,-,7,7,18,2,177,253,3,10,6230,Botahtaung,MMR013017
 Total,2060,56,32,34,1,15,-,16,-,42,17,-,26,299,3,8,8,49,-,5,19,19,-,17,37,4,1,-,-,1,54,123,68,-,111,11,-,-,1,328,8,79,284,22,2386,998,331,57,48,-,135,1413,223,33,17,86,22,79,186,-,26,80,64,-,2,-,18,85,2,25,4,89,63,13,1161,2581,598,288,25,28,69,-,16,20,35,23,295,275,4,25,15786,Botahtaung,MMR013017
 Male,10259,1913,1377,250,1,59,1,62,-,748,139,12,563,1347,397,219,336,107,4,28,130,1044,55,1393,3725,14,34,72,37,8,812,1764,1925,-,1555,533,-,1,5,16148,129,2536,3036,92,13097,14196,623,50,676,3,278,8139,684,50,17,197,12,128,250,2,46,326,71,-,2,1,85,198,9,80,1,45,814,39,2718,3131,357,241,42,62,441,1,224,94,72,164,2118,399,25,9,103087,Dagon Myothit(South),MMR013018
 Female,7127,573,174,73,2,5,1,10,-,976,84,17,508,10532,228,182,238,72,-,23,241,1046,10,99,115,8,76,23,6,2,123,1352,146,-,541,95,-,1,5,956,34,88,102,52,10756,166,37,26,42,2,136,8895,459,19,6,151,10,81,263,2,92,157,91,-,-,1,27,51,1,55,3,35,26,27,1964,1678,1879,489,20,21,103,1,71,54,49,35,1128,518,21,13,55607,Dagon Myothit(South),MMR013018
 Total,17386,2486,1551,323,3,64,2,72,-,1724,223,29,1071,11879,625,401,574,179,4,51,371,2090,65,1492,3840,22,110,95,43,10,935,3116,2071,-,2096,628,-,2,10,17104,163,2624,3138,144,23853,14362,660,76,718,5,414,17034,1143,69,23,348,22,209,513,4,138,483,162,-,2,2,112,249,10,135,4,80,840,66,4682,4809,2236,730,62,83,544,2,295,148,121,199,3246,917,46,22,158694,Dagon Myothit(South),MMR013018
 Male,5761,610,296,125,1,72,2,61,3,297,152,18,125,516,495,68,22,90,3,26,83,223,39,214,717,3,14,14,2,10,281,506,580,-,978,412,-,-,4,6661,79,859,1454,59,5171,8661,923,94,120,5,588,4308,244,59,16,174,21,153,369,1,37,309,107,1,3,1,85,131,9,52,4,112,427,29,3942,2381,455,357,77,125,484,1,132,84,106,115,819,130,6,55,53418,Dagon Myothit(North),MMR013019
 Female,5037,188,119,35,-,17,1,14,1,277,72,6,126,4096,324,54,32,41,2,16,118,125,1,14,13,1,8,5,-,-,29,373,21,-,97,66,-,-,2,694,11,32,102,34,5288,191,37,88,21,1,335,4521,114,30,12,132,17,107,584,1,101,190,129,-,1,-,24,57,4,41,2,123,20,22,2928,2205,2446,739,56,41,118,4,31,37,105,9,806,601,3,38,34564,Dagon Myothit(North),MMR013019
 Total,10798,798,415,160,1,89,3,75,4,574,224,24,251,4612,819,122,54,131,5,42,201,348,40,228,730,4,22,19,2,10,310,879,601,-,1075,478,-,-,6,7355,90,891,1556,93,10459,8852,960,182,141,6,923,8829,358,89,28,306,38,260,953,2,138,499,236,1,4,1,109,188,13,93,6,235,447,51,6870,4586,2901,1096,133,166,602,5,163,121,211,124,1625,731,9,93,87982,Dagon Myothit(North),MMR013019
 Male,4044,2577,370,183,2,25,-,37,2,357,69,5,182,747,480,74,62,43,2,11,59,367,9,168,583,3,21,20,4,3,212,522,496,-,716,370,-,-,2,8791,40,699,859,27,3837,6771,242,39,123,-,223,3047,196,27,2,99,12,65,169,-,31,297,37,-,1,1,28,75,6,46,3,31,400,16,1281,1608,239,221,13,51,210,-,68,42,31,58,941,193,22,14,44059,Dagon Myothit(East),MMR013020
 Female,3485,941,142,100,1,2,1,4,-,298,52,22,242,4479,253,62,69,21,-,17,108,160,2,7,17,3,43,16,1,-,40,345,22,-,276,43,-,1,4,699,11,24,29,27,4393,92,17,14,15,-,113,3618,88,11,4,79,2,45,188,1,52,145,40,-,1,-,12,19,1,28,1,33,17,17,1050,1129,1053,386,27,31,51,2,28,27,28,15,703,184,7,7,25843,Dagon Myothit(East),MMR013020
 Total,7529,3518,512,283,3,27,1,41,2,655,121,27,424,5226,733,136,131,64,2,28,167,527,11,175,600,6,64,36,5,3,252,867,518,-,992,413,-,1,6,9490,51,723,888,54,8230,6863,259,53,138,-,336,6665,284,38,6,178,14,110,357,1,83,442,77,-,2,1,40,94,7,74,4,64,417,33,2331,2737,1292,607,40,82,261,2,96,69,59,73,1644,377,29,21,69902,Dagon Myothit(East),MMR013020
 Male,4894,1721,866,1040,-,27,1,46,-,366,96,4,94,984,149,147,98,52,-,25,65,411,77,256,801,6,22,13,7,17,364,675,553,-,498,268,3,-,6,9306,50,690,794,41,4231,5770,430,8,320,-,127,4030,286,28,5,55,13,73,97,1,21,223,38,-,2,-,38,72,3,48,1,43,457,17,1195,1038,166,119,30,60,306,1,108,60,51,71,2250,477,14,4,47920,Dagon Myothit(Seik),MMR013021
 Female,2782,566,338,490,-,2,1,16,-,346,62,4,193,5950,83,93,115,28,-,26,47,368,13,19,27,4,37,2,2,2,47,377,32,-,131,68,-,-,4,796,11,46,28,26,4050,55,38,9,17,-,69,4354,162,17,5,41,7,35,124,-,33,117,42,-,-,-,12,21,-,25,-,19,16,12,787,576,716,197,24,43,188,1,37,14,23,6,841,248,7,8,26178,Dagon Myothit(Seik),MMR013021
 Total,7676,2287,1204,1530,-,29,2,62,-,712,158,8,287,6934,232,240,213,80,-,51,112,779,90,275,828,10,59,15,9,19,411,1052,585,-,629,336,3,-,10,10102,61,736,822,67,8281,5825,468,17,337,-,196,8384,448,45,10,96,20,108,221,1,54,340,80,-,2,-,50,93,3,73,1,62,473,29,1982,1614,882,316,54,103,494,2,145,74,74,77,3091,725,21,12,74098,Dagon Myothit(Seik),MMR013021
 Male,4417,128,215,79,2,11,-,27,-,199,42,3,56,416,43,16,53,47,4,9,41,43,19,68,158,14,4,8,-,2,52,180,335,-,441,61,-,1,3,1036,70,292,1375,52,7871,4040,564,32,139,1,222,3196,285,31,8,69,11,92,131,2,15,148,78,-,2,1,25,71,6,37,6,79,188,54,2499,2631,249,231,49,94,145,-,49,59,46,91,535,96,4,33,34237,Mingala Taungnyunt,MMR013022
 Female,3422,43,132,30,-,5,-,7,-,81,14,2,58,989,14,9,37,33,-,6,40,17,3,3,4,2,2,2,-,-,14,92,12,-,26,19,-,-,3,178,5,15,48,21,4407,97,20,33,14,-,148,2262,141,23,4,56,11,59,318,1,29,77,81,-,1,1,9,35,-,24,1,61,13,56,1924,1142,1241,416,12,13,51,1,22,51,52,9,442,402,1,28,19177,Mingala Taungnyunt,MMR013022
 Total,7839,171,347,109,2,16,-,34,-,280,56,5,114,1405,57,25,90,80,4,15,81,60,22,71,162,16,6,10,-,2,66,272,347,-,467,80,-,1,6,1214,75,307,1423,73,12278,4137,584,65,153,1,370,5458,426,54,12,125,22,151,449,3,44,225,159,-,3,2,34,106,6,61,7,140,201,110,4423,3773,1490,647,61,107,196,1,71,110,98,100,977,498,5,61,53414,Mingala Taungnyunt,MMR013022
 Male,9028,11407,538,834,-,143,2,44,-,301,125,6,56,923,68,150,56,29,9,13,33,50,30,164,899,-,5,20,3,26,194,478,631,-,530,235,-,1,3,11972,36,1094,915,118,6818,8604,834,11,508,-,188,2233,332,17,2,104,6,47,135,2,15,101,32,-,1,-,7,82,4,54,1,21,381,10,1897,5174,251,174,20,65,175,2,98,103,28,76,2766,430,51,4,73033,Thanlyin,MMR013023
 Female,9112,4868,181,114,-,12,1,11,1,183,87,6,173,7306,41,149,54,37,1,12,56,48,2,16,18,-,8,3,-,2,15,370,21,-,65,78,-,-,3,1028,9,20,27,106,7787,95,30,6,23,-,99,2627,201,10,2,96,4,31,213,4,34,47,59,-,-,-,5,22,1,28,-,15,17,9,1225,1635,1602,389,8,31,38,2,34,77,37,4,847,357,30,4,42029,Thanlyin,MMR013023
 Total,18140,16275,719,948,-,155,3,55,1,484,212,12,229,8229,109,299,110,66,10,25,89,98,32,180,917,-,13,23,3,28,209,848,652,-,595,313,-,1,6,13000,45,1114,942,224,14605,8699,864,17,531,-,287,4860,533,27,4,200,10,78,348,6,49,148,91,-,1,-,12,104,5,82,1,36,398,19,3122,6809,1853,563,28,96,213,4,132,180,65,80,3613,787,81,8,115062,Thanlyin,MMR013023
 Male,1236,15181,52,2973,-,7,-,5,-,248,27,-,8,552,8,51,1,11,1,6,7,4,2,32,199,1,2,3,-,7,42,197,264,-,104,63,-,-,-,3015,13,56,176,42,2113,3032,460,1,571,-,43,946,35,7,-,25,1,8,27,1,8,20,9,-,-,-,1,45,2,12,1,4,95,3,532,839,126,83,12,25,39,1,22,6,15,14,3554,659,56,4,38053,Kyauktan,MMR013024
 Female,2321,3261,9,377,1,-,-,-,-,68,17,1,50,4083,1,109,2,1,1,2,6,-,-,2,5,-,-,2,-,2,1,110,15,-,6,57,-,-,-,131,6,7,10,25,2728,31,12,1,23,-,27,1580,12,2,1,39,-,4,52,4,8,6,12,-,-,-,1,14,-,11,1,2,1,1,201,335,809,142,3,12,6,-,4,1,10,2,948,286,22,2,18045,Kyauktan,MMR013024
 Total,3557,18442,61,3350,1,7,-,5,-,316,44,1,58,4635,9,160,3,12,2,8,13,4,2,34,204,1,2,5,-,9,43,307,279,-,110,120,-,-,-,3146,19,63,186,67,4841,3063,472,2,594,-,70,2526,47,9,1,64,1,12,79,5,16,26,21,-,-,-,2,59,2,23,2,6,96,4,733,1174,935,225,15,37,45,1,26,7,25,16,4502,945,78,6,56098,Kyauktan,MMR013024
 Male,3877,29639,135,948,-,2,-,15,-,405,12,3,3,145,4,78,5,8,-,1,4,9,2,44,196,1,-,4,-,2,38,240,380,-,63,35,-,-,-,2279,18,45,187,45,2180,2027,133,-,115,-,10,647,19,1,-,10,-,2,17,-,3,2,16,-,-,-,1,16,2,14,-,-,15,1,92,596,111,96,-,4,69,-,7,1,11,16,1169,283,34,-,46592,Thongwa,MMR013025
 Female,7982,12093,3,87,-,-,-,1,-,176,6,1,23,1750,4,15,3,1,-,-,2,2,-,2,1,-,-,-,-,-,4,105,15,-,3,33,-,-,-,58,4,2,5,18,2846,16,-,-,17,-,8,707,15,1,-,7,-,1,24,1,5,2,10,-,-,-,-,7,-,8,-,-,-,-,62,215,848,171,-,1,23,-,2,-,6,2,375,218,18,-,28015,Thongwa,MMR013025
 Total,11859,41732,138,1035,-,2,-,16,-,581,18,4,26,1895,8,93,8,9,-,1,6,11,2,46,197,1,-,4,-,2,42,345,395,-,66,68,-,-,-,2337,22,47,192,63,5026,2043,133,-,132,-,18,1354,34,2,-,17,-,3,41,1,8,4,26,-,-,-,1,23,2,22,-,-,15,1,154,811,959,267,-,5,92,-,9,1,17,18,1544,501,52,-,74607,Thongwa,MMR013025
 Male,2956,25787,134,1221,-,1,-,1,-,414,18,41,16,81,-,136,3,7,1,1,9,8,4,43,125,-,-,8,1,-,75,177,346,-,65,14,-,-,-,2342,15,40,137,61,2316,2077,129,-,179,-,9,1027,16,-,-,12,-,5,16,-,10,3,8,-,1,-,1,21,4,23,-,1,10,2,57,575,175,92,2,7,22,-,11,2,8,19,3083,620,77,-,44908,Khayan,MMR013026
 Female,3837,13360,10,100,-,-,-,-,-,87,10,580,32,1166,8,93,2,3,-,-,3,4,-,-,-,1,-,-,-,-,6,87,4,-,4,7,-,-,-,67,8,3,4,15,2646,21,1,1,6,-,3,1269,6,-,-,6,-,1,29,3,15,-,13,-,-,-,-,1,-,7,-,-,1,-,42,265,958,150,2,1,11,-,2,1,11,4,1237,290,38,-,26542,Khayan,MMR013026
 Total,6793,39147,144,1321,-,1,-,1,-,501,28,621,48,1247,8,229,5,10,1,1,12,12,4,43,125,1,-,8,1,-,81,264,350,-,69,21,-,-,-,2409,23,43,141,76,4962,2098,130,1,185,-,12,2296,22,-,-,18,-,6,45,3,25,3,21,-,1,-,1,22,4,30,-,1,11,2,99,840,1133,242,4,8,33,-,13,3,19,23,4320,910,115,-,71450,Khayan,MMR013026
 Male,2735,27815,417,6369,-,8,-,82,-,309,54,3,22,381,54,503,19,11,-,26,9,40,45,57,211,2,9,3,1,18,155,524,465,-,201,137,-,1,-,4495,79,301,249,163,4688,4820,789,6,437,-,35,2539,79,1,-,21,2,13,29,-,25,15,13,-,-,1,1,24,2,37,-,3,86,1,248,990,248,130,5,46,73,-,29,12,17,39,2232,365,14,3,64091,Twantay,MMR013027
 Female,5177,11623,95,1362,-,2,-,31,1,143,23,4,139,5738,153,684,15,10,-,5,11,18,22,1,6,-,3,-,-,3,18,435,6,-,27,45,-,-,-,270,31,24,7,40,6223,58,27,5,35,-,6,3078,18,2,1,18,1,2,38,2,21,6,30,-,-,-,2,8,-,19,2,3,1,1,190,411,1081,237,2,22,16,-,14,6,14,2,941,269,22,1,39007,Twantay,MMR013027
 Total,7912,39438,512,7731,-,10,-,113,1,452,77,7,161,6119,207,1187,34,21,-,31,20,58,67,58,217,2,12,3,1,21,173,959,471,-,228,182,-,1,-,4765,110,325,256,203,10911,4878,816,11,472,-,41,5617,97,3,1,39,3,15,67,2,46,21,43,-,-,1,3,32,2,56,2,6,87,2,438,1401,1329,367,7,68,89,-,43,18,31,41,3173,634,36,4,103098,Twantay,MMR013027
 Male,1733,19812,1540,1670,-,9,-,47,1,149,8,-,2,64,1,265,3,3,-,1,2,32,8,49,85,-,-,-,-,2,44,416,182,-,63,54,-,-,-,1378,50,22,78,19,1875,1835,331,-,56,-,8,742,25,1,-,14,-,2,11,-,28,-,7,-,-,-,2,10,3,17,-,1,9,1,89,641,184,82,-,3,23,2,6,6,14,9,1069,249,29,2,35178,Kawhmu,MMR013028
 Female,6069,12442,668,524,-,-,-,4,-,66,8,4,27,1264,2,1078,5,1,-,1,3,20,2,3,10,1,-,-,1,-,6,343,3,-,9,42,-,-,-,116,22,8,3,23,3968,32,23,1,8,-,4,1576,2,1,-,9,-,1,14,-,26,3,5,-,-,-,1,2,1,9,-,1,-,-,65,278,755,143,1,14,6,1,2,1,13,-,597,199,16,-,30556,Kawhmu,MMR013028
 Total,7802,32254,2208,2194,-,9,-,51,1,215,16,4,29,1328,3,1343,8,4,-,2,5,52,10,52,95,1,-,-,1,2,50,759,185,-,72,96,-,-,-,1494,72,30,81,42,5843,1867,354,1,64,-,12,2318,27,2,-,23,-,3,25,-,54,3,12,-,-,-,3,12,4,26,-,2,9,1,154,919,939,225,1,17,29,3,8,7,27,9,1666,448,45,2,65734,Kawhmu,MMR013028
 Male,1731,14412,525,2723,-,1,-,10,-,231,14,-,9,99,4,147,2,3,-,-,1,16,1,15,55,-,-,1,1,2,26,116,178,-,59,39,-,-,-,1240,32,18,113,16,1367,1717,233,2,94,1,30,407,14,1,-,15,1,2,18,-,6,3,6,-,-,-,-,16,2,11,-,3,10,-,79,471,179,56,3,12,21,-,17,2,27,15,4118,597,25,3,31424,Kungyangon,MMR013029
 Female,1861,3352,296,168,-,-,-,-,-,93,6,2,21,1294,16,190,1,2,-,1,-,6,-,-,-,-,-,-,-,-,3,126,5,-,5,12,-,-,-,65,13,11,1,16,3123,22,6,-,12,-,7,849,5,-,-,7,1,1,15,-,12,-,9,-,-,-,-,1,-,10,-,-,1,-,59,217,864,137,3,1,4,-,2,1,24,-,1335,214,11,3,14522,Kungyangon,MMR013029
 Total,3592,17764,821,2891,-,1,-,10,-,324,20,2,30,1393,20,337,3,5,-,1,1,22,1,15,55,-,-,1,1,2,29,242,183,-,64,51,-,-,-,1305,45,29,114,32,4490,1739,239,2,106,1,37,1256,19,1,-,22,2,3,33,-,18,3,15,-,-,-,-,17,2,21,-,3,11,-,138,688,1043,193,6,13,25,-,19,3,51,15,5453,811,36,6,45946,Kungyangon,MMR013029
 Male,5019,7044,129,1918,-,4,2,4,-,104,33,1,17,126,14,74,43,44,-,3,8,16,3,58,333,3,3,1,1,124,362,105,517,-,302,279,-,-,-,6544,26,701,423,63,6387,4696,2341,9,1460,1,88,2525,229,9,-,50,7,27,79,-,10,38,25,-,3,-,12,47,2,32,-,20,237,10,554,1603,132,354,12,60,85,1,47,21,33,67,1206,230,25,6,47231,Dala,MMR013030
 Female,3715,1470,58,87,-,1,1,1,-,38,9,2,53,1194,3,49,33,70,-,3,18,18,1,5,4,-,-,-,-,2,12,55,12,-,28,137,-,1,2,683,13,17,13,16,7154,74,88,8,74,1,36,3055,226,4,4,64,6,31,137,4,22,18,30,-,-,-,4,18,-,15,-,16,9,10,413,885,683,460,10,23,25,1,66,12,36,9,469,490,33,3,22550,Dala,MMR013030
 Total,8734,8514,187,2005,-,5,3,5,-,142,42,3,70,1320,17,123,76,114,-,6,26,34,4,63,337,3,3,1,1,126,374,160,529,-,330,416,-,1,2,7227,39,718,436,79,13541,4770,2429,17,1534,2,124,5580,455,13,4,114,13,58,216,4,32,56,55,-,3,-,16,65,2,47,-,36,246,20,967,2488,815,814,22,83,110,2,113,33,69,76,1675,720,58,9,69781,Dala,MMR013030
 Male,2,23,1,51,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,2,-,-,-,-,32,26,13,-,-,22,8,3,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,184,6,4,-,-,3,-,-,-,1,-,-,2,-,-,396,Cocogyun,MMR013032
 Female,2,25,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,20,8,-,-,46,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,43,18,5,-,-,3,-,-,-,-,-,1,3,-,-,202,Cocogyun,MMR013032
 Total,4,48,1,51,-,-,-,-,-,-,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,2,-,-,-,-,53,46,21,-,-,68,8,3,-,-,-,-,1,-,-,-,2,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,3,227,24,9,-,-,6,-,-,-,1,-,1,5,-,-,598,Cocogyun,MMR013032
 Male,381,7336,11,360,-,1,-,2,-,33,9,-,1,23,-,14,-,-,-,-,-,1,3,7,26,-,-,-,-,-,12,21,65,-,8,26,-,-,-,328,7,1,14,3,278,266,100,-,21,-,5,141,1,-,-,2,-,-,1,-,1,-,2,-,-,-,-,5,1,-,-,-,5,-,15,112,30,18,-,-,12,-,3,1,8,6,916,125,8,-,10776,Tada(ST),MMR013024
