Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Male,27,1,1,1,-,-,1,2,3,-,-,2,-,-,-,2,1,1,1,-,3,2,3,3,2,1,3,1,2,1,2,1,1,6,1,1,3,5,3,3,5,4,6,3,5,7,2,4,2,-,6,5,2,5,3,6,1,-,1,7,5,5,4,3,4,3,4,3,2,4,3,1,8,5,5,6,3,6,7,3,13,5,2,6,3,3,4,6,2,1,6,299,Mingin,MMR005029
 Female,16,2,-,-,1,4,1,1,-,2,-,-,-,1,1,2,-,-,-,1,-,-,1,-,-,1,-,1,2,-,1,-,-,-,1,3,4,1,2,-,-,1,-,-,2,6,-,-,1,1,1,-,3,1,2,4,-,2,2,2,5,4,1,2,3,5,8,2,2,-,5,3,4,2,5,9,3,4,3,3,7,3,4,5,3,1,3,4,4,-,6,190,Mingin,MMR005029
 Total,43,3,1,1,1,4,2,3,3,2,-,2,-,1,1,4,1,1,1,1,3,2,4,3,2,2,3,2,4,1,3,1,1,6,2,4,7,6,5,3,5,5,6,3,7,13,2,4,3,1,7,5,5,6,5,10,1,2,3,9,10,9,5,5,7,8,12,5,4,4,8,4,12,7,10,15,6,10,10,6,20,8,6,11,6,4,7,10,6,1,12,489,Mingin,MMR005029
 Male,10,-,2,2,-,-,1,-,-,-,-,-,-,2,-,-,-,2,-,-,1,2,1,1,-,-,2,2,2,1,2,3,1,1,3,3,1,1,4,2,2,3,1,2,4,4,1,2,6,1,4,1,3,4,2,1,4,1,1,2,2,1,1,6,2,3,4,-,2,1,5,1,1,4,1,1,1,2,3,2,1,2,-,4,-,-,2,-,-,-,-,153,Tamu,MMR005030
 Female,11,1,2,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,3,-,1,1,-,-,1,-,-,1,-,1,2,-,2,2,-,1,2,2,-,-,-,1,3,-,1,1,2,1,1,-,2,1,-,2,1,1,-,6,1,2,1,1,2,2,1,3,2,4,4,3,2,1,-,2,2,2,3,1,-,-,1,102,Tamu,MMR005030
 Total,21,1,4,2,1,1,1,-,1,-,-,-,-,2,-,-,-,2,-,-,1,2,1,2,1,-,3,2,5,1,3,4,1,1,4,3,1,2,4,3,4,3,3,4,4,5,3,4,6,1,4,2,6,4,3,2,6,2,2,2,4,2,1,8,3,4,4,6,3,3,6,2,3,6,2,4,3,6,7,5,3,3,-,6,2,2,5,1,-,-,1,255,Tamu,MMR005030
 Male,5,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,2,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,2,1,-,3,-,-,-,-,-,2,2,-,1,-,1,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,35,Myothit(ST),MMR005030
 Female,3,1,-,2,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,1,-,-,2,-,-,1,-,2,-,-,-,-,2,-,1,-,-,1,1,-,-,-,-,-,-,29,Myothit(ST),MMR005030
 Total,8,1,1,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,-,-,-,2,1,1,-,-,1,-,5,2,1,-,-,-,-,-,-,-,2,1,-,4,-,-,-,-,1,3,2,1,1,-,3,-,-,1,-,3,-,3,-,-,2,-,1,1,-,1,1,-,-,-,-,-,-,64,Myothit(ST),MMR005030
 Male,10,1,1,-,-,-,1,2,-,-,-,-,1,1,1,-,-,-,-,1,1,-,-,1,1,1,-,1,-,-,1,-,1,2,-,2,-,-,-,1,2,-,1,1,-,1,-,3,1,-,1,2,-,2,1,-,1,2,1,2,2,1,2,2,1,2,2,1,1,1,3,-,2,4,1,1,-,2,1,-,-,1,-,-,1,1,1,-,1,-,1,87,Khampat(ST),MMR005030
 Female,8,2,-,-,3,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,1,1,-,-,-,3,1,1,-,-,1,1,1,1,-,-,1,1,-,1,-,-,1,1,-,2,1,1,1,-,2,3,1,-,-,-,-,-,3,-,-,1,-,1,-,1,1,-,3,3,-,2,1,2,-,-,1,-,1,-,-,1,-,-,1,3,68,Khampat(ST),MMR005030
 Total,18,3,1,-,3,-,1,2,-,-,-,1,1,1,1,-,1,-,-,1,1,-,-,1,2,2,1,1,-,-,4,1,2,2,-,3,1,1,1,1,2,1,2,1,1,1,-,4,2,-,3,3,1,3,1,2,4,3,1,2,2,1,2,5,1,2,3,1,2,1,4,1,2,7,4,1,2,3,3,-,-,2,-,1,1,1,2,-,1,1,4,155,Khampat(ST),MMR005030
 Male,10,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,1,1,1,3,-,1,1,-,-,-,-,1,3,2,2,1,-,1,1,1,2,2,1,-,2,2,1,-,3,-,2,2,2,1,-,4,1,-,2,3,4,2,1,6,3,1,2,8,3,1,7,3,-,1,1,-,1,-,-,1,2,1,-,1,2,3,120,Mawlaik,MMR005031
 Female,6,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,1,-,-,1,-,-,3,-,-,1,1,-,5,-,-,1,1,-,-,-,1,-,1,1,1,2,1,-,4,1,-,-,-,1,1,1,1,1,-,1,1,2,2,5,3,1,4,4,1,2,3,2,1,1,3,1,-,2,1,1,3,86,Mawlaik,MMR005031
 Total,16,2,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,3,-,-,1,-,2,1,1,3,-,2,1,-,1,-,-,4,3,2,3,2,-,6,1,1,3,3,1,-,2,3,1,1,4,1,4,3,2,5,1,4,1,-,3,4,5,3,2,6,4,2,4,10,8,4,8,7,4,2,3,3,3,1,1,4,3,1,2,2,3,6,206,Mawlaik,MMR005031
 Male,30,5,1,1,1,-,3,-,-,1,1,1,-,-,-,2,-,-,2,-,4,4,1,-,1,-,3,-,6,3,1,4,4,4,3,8,4,6,1,2,1,4,4,3,6,3,6,3,4,4,2,3,2,3,1,4,5,1,3,2,3,1,2,3,3,2,5,2,5,1,6,4,6,9,3,4,6,1,1,1,-,2,2,2,2,-,1,-,-,1,3,252,Phaungpyin,MMR005032
 Female,24,-,-,1,3,-,-,-,2,1,-,-,1,-,2,1,1,-,2,2,2,-,1,-,1,-,1,-,-,1,2,1,-,1,1,-,4,2,1,-,3,1,2,2,2,1,2,1,2,1,3,2,2,4,2,3,3,1,-,1,3,3,7,2,4,5,7,4,3,2,2,2,1,5,6,6,7,8,6,1,3,1,1,3,7,3,4,2,3,2,6,215,Phaungpyin,MMR005032
 Total,54,5,1,2,4,-,3,-,2,2,1,1,1,-,2,3,1,-,4,2,6,4,2,-,2,-,4,-,6,4,3,5,4,5,4,8,8,8,2,2,4,5,6,5,8,4,8,4,6,5,5,5,4,7,3,7,8,2,3,3,6,4,9,5,7,7,12,6,8,3,8,6,7,14,9,10,13,9,7,2,3,3,3,5,9,3,5,2,3,3,9,467,Phaungpyin,MMR005032
 Male,25,-,3,2,1,-,-,-,-,1,2,1,-,-,-,-,-,-,1,1,-,-,2,-,1,1,1,-,1,1,1,4,4,2,1,2,5,2,4,2,2,2,1,2,2,5,1,-,-,1,5,-,2,1,2,1,1,3,1,-,2,1,2,2,1,1,-,1,1,1,2,1,-,1,-,1,1,-,1,2,-,1,-,-,-,-,-,-,1,-,4,130,Hkamti,MMR005033
 Female,16,1,1,1,1,3,1,1,-,-,-,1,-,-,-,1,-,-,-,3,-,1,1,1,1,1,-,-,1,2,1,1,-,-,1,-,-,1,-,-,1,2,-,-,-,1,2,1,1,1,2,-,-,1,1,1,-,1,-,1,6,1,2,1,-,1,1,1,2,-,1,3,1,1,1,3,-,-,1,-,1,-,2,3,1,-,1,-,-,1,3,96,Hkamti,MMR005033
 Total,41,1,4,3,2,3,1,1,-,1,2,2,-,-,-,1,-,-,1,4,-,1,3,1,2,2,1,-,2,3,2,5,4,2,2,2,5,3,4,2,3,4,1,2,2,6,3,1,1,2,7,-,2,2,3,2,1,4,1,1,8,2,4,3,1,2,1,2,3,1,3,4,1,2,1,4,1,-,2,2,1,1,2,3,1,-,1,-,1,1,7,226,Hkamti,MMR005033
 Male,96,12,6,1,2,2,2,4,2,-,2,2,-,3,1,2,5,4,2,2,3,-,4,2,1,3,5,6,2,1,9,3,4,9,7,5,7,4,-,8,8,7,12,11,6,7,9,6,13,3,5,6,6,6,7,6,7,5,2,7,7,4,6,8,7,8,12,4,7,6,8,2,13,5,4,7,7,5,7,1,2,4,5,9,2,5,4,-,2,3,3,539,Homalin,MMR005034
 Female,63,13,-,10,2,1,-,1,3,4,-,1,2,-,2,1,-,1,-,2,1,2,1,-,2,-,1,1,1,-,4,5,1,1,1,4,3,2,-,1,5,5,5,1,3,1,8,5,6,6,4,4,-,3,5,5,6,3,5,2,-,5,9,2,9,3,9,6,4,7,6,7,10,9,5,14,11,3,11,4,8,7,7,4,6,5,7,5,4,2,8,416,Homalin,MMR005034
 Total,159,25,6,11,4,3,2,5,5,4,2,3,2,3,3,3,5,5,2,4,4,2,5,2,3,3,6,7,3,1,13,8,5,10,8,9,10,6,-,9,13,12,17,12,9,8,17,11,19,9,9,10,6,9,12,11,13,8,7,9,7,9,15,10,16,11,21,10,11,13,14,9,23,14,9,21,18,8,18,5,10,11,12,13,8,10,11,5,6,5,11,955,Homalin,MMR005034
 Male,3,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,Leshi,MMR005035
 Female,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,8,Leshi,MMR005035
 Total,4,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,-,2,-,-,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,2,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,26,Leshi,MMR005035
 Male,20,3,5,2,2,3,1,3,-,2,1,2,4,-,-,1,1,-,2,1,1,1,1,-,1,2,2,-,1,1,-,-,1,1,-,1,-,1,1,1,-,2,2,2,1,1,-,-,-,-,2,-,-,-,1,1,1,1,-,1,8,5,1,4,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,2,109,Lahe,MMR005036
 Female,9,3,4,1,3,5,3,1,-,2,1,-,2,2,1,-,-,2,2,-,-,1,1,1,-,3,2,1,1,-,1,2,1,-,-,2,1,-,1,-,6,-,1,-,-,2,1,1,-,3,2,-,2,3,-,3,1,-,1,3,5,-,-,-,1,1,-,-,-,-,2,-,2,-,-,1,3,-,1,-,4,-,-,-,-,2,-,-,-,-,3,113,Lahe,MMR005036
 Total,29,6,9,3,5,8,4,4,-,4,2,2,6,2,1,1,1,2,4,1,1,2,2,1,1,5,4,1,2,1,1,2,2,1,-,3,1,1,2,1,6,2,3,2,1,3,1,1,-,3,4,-,2,3,1,4,2,1,1,4,13,5,1,4,1,1,-,-,2,-,2,-,2,-,-,1,3,-,2,-,4,-,-,-,-,4,-,-,-,-,5,222,Lahe,MMR005036
 Male,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,Nanyun,MMR005037
 Female,1,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,9,Nanyun,MMR005037
 Total,1,2,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,13,Nanyun,MMR005037
 Male,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,Mobaingluk(ST),MMR005035
 Female,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,Mobaingluk(ST),MMR005035
 Total,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4,Mobaingluk(ST),MMR005035
 Male,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,Sonemara(ST),MMR005035
 Female,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,9,Sonemara(ST),MMR005035
 Total,5,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,20,Sonemara(ST),MMR005035
 Male,2,1,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-,2,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,18,Htanparkway(ST),MMR005036
 Female,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,1,-,-,2,-,1,-,-,-,-,-,-,-,1,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,19,Htanparkway(ST),MMR005036
 Total,3,1,1,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,1,-,1,-,-,-,1,-,1,3,-,3,-,-,-,-,2,-,-,2,-,2,1,-,1,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,37,Htanparkway(ST),MMR005036
 Male,2,1,1,1,-,1,-,1,1,-,2,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,25,Pansaung(ST),MMR005037
 Female,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,1,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,Pansaung(ST),MMR005037
 Total,4,2,1,1,-,1,-,1,1,-,2,1,-,-,-,1,-,-,-,-,1,-,1,-,-,1,-,-,1,-,2,-,1,-,-,2,-,-,1,-,1,1,-,1,-,1,-,-,-,-,-,-,-,1,2,-,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,39,Pansaung(ST),MMR005037
 Male,1,-,-,1,-,1,1,1,-,-,-,-,-,1,-,1,-,-,-,-,3,-,1,-,-,-,-,1,1,-,-,-,-,1,1,1,-,-,1,-,-,2,-,-,-,1,-,-,1,-,1,-,-,-,-,-,2,1,-,1,2,-,-,-,1,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,Donhee(ST),MMR005037
 Female,1,2,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,3,3,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,Donhee(ST),MMR005037
 Total,2,2,3,1,-,1,1,2,1,1,-,-,-,1,-,1,-,-,-,-,3,-,1,-,-,1,-,1,1,-,-,-,1,1,1,1,-,1,1,-,-,2,-,1,3,4,-,-,1,-,2,-,-,-,-,1,2,1,-,1,2,-,-,-,2,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55,Donhee(ST),MMR005037
 Male,20,2,1,2,-,-,1,2,-,-,-,-,1,1,-,1,1,-,1,2,3,1,2,2,-,1,4,3,2,-,4,1,3,1,1,5,5,1,5,3,7,4,4,7,2,9,7,9,2,1,5,2,2,8,3,4,3,1,4,11,11,6,6,4,4,3,7,1,8,6,5,-,4,10,2,10,9,7,7,3,5,-,5,6,4,6,4,1,5,4,11,341,Yinmarpin,MMR005016
 Female,16,1,-,2,3,1,-,1,1,-,-,1,2,-,-,2,1,-,-,1,1,1,-,1,2,2,1,1,3,-,2,1,-,2,1,1,-,2,1,3,1,1,2,-,4,3,1,2,2,2,-,2,3,2,3,1,4,3,4,1,5,5,2,5,2,5,3,4,6,2,14,2,4,5,2,8,9,6,10,7,8,8,4,5,4,8,3,3,2,2,21,272,Yinmarpin,MMR005016
 Total,36,3,1,4,3,1,1,3,1,-,-,1,3,1,-,3,2,-,1,3,4,2,2,3,2,3,5,4,5,-,6,2,3,3,2,6,5,3,6,6,8,5,6,7,6,12,8,11,4,3,5,4,5,10,6,5,7,4,8,12,16,11,8,9,6,8,10,5,14,8,19,2,8,15,4,18,18,13,17,10,13,8,9,11,8,14,7,4,7,6,32,613,Yinmarpin,MMR005016
 Male,17,2,1,-,-,-,1,1,-,1,-,-,-,1,-,1,1,2,1,2,1,1,1,-,2,4,-,4,6,5,1,1,4,2,1,4,1,4,7,2,3,1,4,1,9,12,6,8,1,5,5,5,4,2,4,5,9,5,6,4,10,5,4,5,1,6,9,9,3,3,5,6,3,10,4,9,5,7,6,3,6,4,4,5,6,3,2,3,1,3,12,343,Salingyi,MMR005018
 Female,17,-,-,-,-,-,-,-,-,-,-,3,1,-,2,1,-,1,-,5,1,-,-,-,2,-,-,1,-,1,-,1,-,-,-,2,1,1,3,2,3,1,3,1,3,3,3,-,-,-,4,3,2,3,1,2,3,3,5,4,4,-,2,5,2,4,4,6,5,5,12,4,5,9,4,11,7,6,10,6,8,6,4,7,9,8,4,5,4,1,18,277,Salingyi,MMR005018
 Total,34,2,1,-,-,-,1,1,-,1,-,3,1,1,2,2,1,3,1,7,2,1,1,-,4,4,-,5,6,6,1,2,4,2,1,6,2,5,10,4,6,2,7,2,12,15,9,8,1,5,9,8,6,5,5,7,12,8,11,8,14,5,6,10,3,10,13,15,8,8,17,10,8,19,8,20,12,13,16,9,14,10,8,12,15,11,6,8,5,4,30,620,Salingyi,MMR005018
 Male,44,5,-,2,-,1,2,-,-,2,-,-,-,2,1,1,3,1,3,2,3,2,3,3,4,-,3,-,1,4,4,2,6,5,7,4,4,10,7,4,8,4,5,2,4,5,6,3,2,5,6,4,5,3,5,4,5,5,3,6,7,4,5,6,4,3,10,8,9,9,15,9,9,2,8,11,9,6,12,-,12,4,3,2,6,2,3,-,1,3,9,426,Palae,MMR005019
 Female,28,3,1,-,1,2,1,-,1,1,-,-,1,1,3,2,2,1,-,2,-,2,1,3,1,4,2,1,1,-,1,4,2,4,-,6,1,-,1,1,1,1,2,-,2,3,2,-,1,2,7,1,2,2,1,3,2,2,2,2,5,2,5,3,5,4,4,8,6,7,6,4,8,8,4,11,7,3,7,2,11,5,4,10,3,3,4,5,4,5,18,304,Palae,MMR005019
 Total,72,8,1,2,1,3,3,-,1,3,-,-,1,3,4,3,5,2,3,4,3,4,4,6,5,4,5,1,2,4,5,6,8,9,7,10,5,10,8,5,9,5,7,2,6,8,8,3,3,7,13,5,7,5,6,7,7,7,5,8,12,6,10,9,9,7,14,16,15,16,21,13,17,10,12,22,16,9,19,2,23,9,7,12,9,5,7,5,5,8,27,730,Palae,MMR005019
 Male,24,3,1,3,2,-,1,2,-,1,1,-,1,1,-,3,2,2,1,-,1,3,4,6,2,-,3,-,2,3,2,2,4,5,1,5,5,3,5,3,5,6,5,2,5,8,5,9,3,6,6,7,6,1,2,9,11,5,4,2,8,3,5,5,2,6,8,7,5,3,15,4,6,12,4,5,7,10,5,3,12,3,6,6,3,4,4,3,1,1,6,386,Kani,MMR005017
 Female,18,3,2,-,1,-,-,1,-,-,-,-,-,-,4,-,2,-,-,2,1,1,1,-,-,-,-,3,-,-,2,-,1,2,1,3,1,1,1,-,1,1,4,1,3,4,-,2,-,2,3,3,5,3,2,1,3,3,3,4,3,1,6,1,-,4,4,5,1,1,10,3,8,2,2,8,11,3,3,5,5,6,6,6,6,9,12,-,5,2,13,250,Kani,MMR005017
 Total,42,6,3,3,3,-,1,3,-,1,1,-,1,1,4,3,4,2,1,2,2,4,5,6,2,-,3,3,2,3,4,2,5,7,2,8,6,4,6,3,6,7,9,3,8,12,5,11,3,8,9,10,11,4,4,10,14,8,7,6,11,4,11,6,2,10,12,12,6,4,25,7,14,14,6,13,18,13,8,8,17,9,12,12,9,13,16,3,6,3,19,636,Kani,MMR005017
 Male,15,5,2,-,-,-,-,-,-,-,-,1,1,1,1,-,2,1,-,1,-,1,2,2,1,3,3,6,3,4,4,1,4,3,3,2,7,2,5,1,1,4,7,1,2,9,7,7,5,4,4,6,6,5,3,3,11,7,6,7,6,7,7,12,4,7,4,8,7,6,6,3,4,4,4,5,7,7,7,2,7,8,1,3,5,6,5,4,3,2,15,368,Dawei,MMR006001
 Female,9,4,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,2,1,1,-,4,-,-,1,2,1,-,-,-,4,2,2,1,3,1,2,3,3,1,4,-,5,3,2,9,1,6,2,4,5,6,6,3,4,8,2,6,4,8,5,6,6,3,7,5,6,8,6,2,5,2,6,7,4,6,9,6,10,6,4,9,29,297,Dawei,MMR006001
 Total,24,9,2,1,-,-,-,-,-,-,-,2,1,1,1,-,3,1,-,1,1,1,3,2,1,5,4,7,3,8,4,1,5,5,4,2,7,2,9,3,3,5,10,2,4,12,10,8,9,4,9,9,8,14,4,9,13,11,11,13,12,10,11,20,6,13,8,16,12,12,12,6,11,9,10,13,13,9,12,4,13,15,5,9,14,12,15,10,7,11,44,665,Dawei,MMR006001
 Male,18,3,1,4,-,2,2,3,1,1,2,-,1,1,2,-,5,2,3,2,1,3,3,3,1,1,3,5,3,2,3,1,6,5,1,4,3,2,5,1,7,3,8,2,3,7,3,6,7,2,7,7,5,6,7,10,9,6,8,4,7,1,4,9,5,9,3,5,7,1,13,2,10,8,7,12,11,5,11,4,8,4,4,7,6,12,7,11,12,2,24,457,Lounglon,MMR006002
 Female,12,1,1,2,1,-,-,1,1,1,-,-,-,1,1,3,3,1,1,1,2,1,1,1,4,2,2,-,1,1,3,1,-,1,1,1,-,1,2,1,2,3,3,1,3,1,-,5,4,2,8,7,2,4,-,4,5,6,6,2,8,5,6,7,7,8,5,10,3,3,6,1,6,6,8,16,9,8,7,6,4,7,8,12,8,7,10,5,3,4,25,353,Lounglon,MMR006002
 Total,30,4,2,6,1,2,2,4,2,2,2,-,1,2,3,3,8,3,4,3,3,4,4,4,5,3,5,5,4,3,6,2,6,6,2,5,3,3,7,2,9,6,11,3,6,8,3,11,11,4,15,14,7,10,7,14,14,12,14,6,15,6,10,16,12,17,8,15,10,4,19,3,16,14,15,28,20,13,18,10,12,11,12,19,14,19,17,16,15,6,49,810,Lounglon,MMR006002
